Bat,English,Spanish,Weight,Forearm,Peak frequency,Frequency range,Description
Barbastella barbastellus,Western Barbastelle,Murciélago Barbastela,6-13 g,35-45 mm,32 kHz,30-35 kHz,"The Western Barbastelle is a rare and distinctive bat with a pug-like face and large, wide ears. It has dark fur with lighter tips and is known for its agile flight. This bat primarily feeds on small moths and beetles. Fun fact: Its Latin name, Barbastella, translates to “star beard,” referring to the white hairs on its lips."
Eptesicus isabellinus,Meridional Serotine,Murciélago Hortelano Mediterráneo,15-30 g,45-55 mm,29  kHz,21-29 kHz,"The Meridional Serotine is native to the Iberian Peninsula and North Africa. It has long, silky, yellowish-brown fur and large, rounded ears. This bat feeds on beetles, moths, and flies. Fun fact: Its name “isabellinus” refers to its pale yellow fur color."
Eptesicus nilssonii,Northern Bat,Murciélago de Nilsson,7-16 g,38-45 mm,29 kHz,26-32 kHz,"The Northern Bat is the most abundant bat in northern Eurasia. It has dark brown or black fur with golden tips and is known for its fast, agile flight. This bat hunts insects like moths and beetles56. Fun fact: It is the only bat species found above the Arctic Circle."
Eptesicus serotinus,Serotine Bat,Murciélago Hortelano,15-35 g,48-55 mm,27 kHz,22-32 kHz,"The Serotine Bat is one of the largest British bats, with dark brown fur and a paler underside. It feeds on flies, moths, and beetles, often hunting near street lamps. Fun fact: The name “serotine” comes from the Latin word for evening, reflecting its nocturnal habits."
Hypsugo savii,Savi’s Pipistrelle,Murciélago Montañero,5-9 g,31-38 mm,35 kHz,32-48 kHz,"Savi’s Pipistrelle is a small bat with dark brown fur and a pale underside. It roosts in tree bark, rock crevices, and buildings. This bat feeds on flying insects and is known for its synchronized echolocation with wing beats. Fun fact: It can be found at altitudes up to 2,500 meters."
Miniopterus pallidus,Pallid Long-fingered Bat,Murciélago de Dedos Largos Pálido,12-17 g,45-48 mm,56 kHz,30-60 kHz,"The Pallid Long-fingered Bat has a pale, almost translucent appearance and long, slender fingers. It roosts in caves and rock crevices and feeds on insects. Fun fact: This bat is known for its long-distance migrations."
Miniopterus schreibersii,Common Bent-wing Bat,Murciélago de Cueva,11-15 g,44-47 mm,53 kHz,47-80 kHz,The Common Bent-wing Bat has a distinctive bent wing shape and dark brown fur. It roosts in large colonies in caves and tunnels and feeds on insects. Fun fact: This bat can live up to 20 years in the wild.
Myotis alcathoe,Alcathoe Bat,Murciélago de Alcathoe,3.5-5 g,30-35 mm,45 kHz,42-48 kHz," The Alcathoe Bat is a small, elusive bat with dark fur and a pale underside. It roosts in tree cavities and feeds on small insects. Fun fact: It was only discovered as a distinct species in 2001."
Myotis bechsteinii,Bechstein’s Bat,Murciélago de Bechstein,7-12 g,38-45 mm,50 kHz,45-55 kHz,Bechstein’s Bat has long ears and a reddish-brown fur. It prefers old-growth forests and roosts in tree cavities. This bat feeds on moths and spiders. Fun fact: It is one of the most forest-dependent bats in Europe.
Myotis blythii,Lesser Mouse-eared Bat,Murciélago Ratón Pequeño,18-30 g,50-62 mm,41 kHz,26-100 kHz,"The Lesser Mouse-eared Bat has a robust body and long, dense fur. It roosts in caves and buildings and feeds on large insects like beetles and grasshoppers. Fun fact: This bat is known for its strong, fast flight."
Myotis brandtii,Brandt’s Bat,Murciélago de Brandt,5-9 g,32-38 mm,45 kHz,42-48 kHz,"Brandt’s Bat is a small bat with dark brown, slightly shaggy fur and golden tips. It has a pinkish face and ears. This bat feeds on moths, small insects, and spiders. Fun fact: It was only recognized as a separate species in 1970."
Myotis dasycneme,Pond Bat,Murciélago de Estanque,14-26 g,43-50 mm,39 kHz,28-45 kHz,The Pond Bat is a medium-large bat with dense pale grey-brown fur and a white underside. It has large feet and a swollen muzzle. This bat feeds on aquatic insects and is known for its trawling behavior over water surfaces. Fun fact: It is the largest trawling bat.
Myotis daubentonii,Daubenton’s Bat,Murciélago de Daubenton,7-15 g,35-41 mm,47 kHz,20-81 kHz,"Daubenton’s Bat, also known as the ‘water bat,’ has brown fur, black wings, and a pink face. It hunts insects over water surfaces, catching them with its mouth or tail. Fun fact: It was named in honor of French naturalist Louis-Jean-Marie Daubenton."
Myotis emarginatus,Geoffroy’s Bat,Murciélago de Geoffroy,6-15 g,36-42 mm,45 kHz,20-150 kHz,"Geoffroy’s Bat is a medium-sized bat with long, woolly fur that is rust-brown to fox-red on the back and pale yellowish-brown on the underside. It feeds on spiders and flies. Fun fact: It has a distinctive notch on the outer edge of its ears."
Myotis escalerai,Escalera’s Bat,Murciélago de Escalera,6-12 g,35-40 mm,45 kHz,40-50 kHz,Escalera’s Bat is a medium-sized bat with brownish to grayish fur on the back and lighter underparts. It has a pointed muzzle and long ears. This bat forms large colonies in caves. Fun fact: It was only recognized as a distinct species in 2006.
Myotis myotis,Greater Mouse-eared Bat,Murciélago Ratón Grande,20-40 g,55-67 mm,32 kHz,22-87 kHz,"The Greater Mouse-eared Bat is one of the largest European bats with a robust body and long, dense fur. It feeds on large insects like beetles and grasshoppers. Fun fact: It has a strong, fast flight."
Myotis mystacinus,Whiskered Bat,Murciélago Bigotudo,5-8 g,32-38 mm,45 kHz,42-48 kHz,The Whiskered Bat is a small bat with dark brown fur and a pale underside. It has a distinctive whiskered appearance. This bat feeds on small insects and spiders. Fun fact: It was named for its whisker-like facial hair.
Myotis nattereri,Natterer’s Bat,Murciélago de Natterer,6-12 g,37-43 mm,50 kHz,45-55 kHz,Natterer’s Bat has long ears and a reddish-brown fur. It prefers old-growth forests and roosts in tree cavities. This bat feeds on moths and spiders. Fun fact: It is one of the most forest-dependent bats in Europe.
Nyctalus lasiopterus,Greater Noctule Bat,Nóctulo Grande,33-76 g,61-71 mm,15 kHz,18-27 kHz,The Greater Noctule Bat is the largest European bat with dark brown fur and a wingspan of up to 46 cm. It feeds on large insects and occasionally small birds. Fun fact: It is known for its powerful and fast flight.
Nyctalus leisleri,Leisler’s Bat,Nóctulo Pequeño,13-18 g,40-47 mm,25 kHz,21-30 kHz,"Leisler’s Bat, also known as the Lesser Noctule, has dark brown fur and a paler underside. It feeds on flying insects and is known for its high-altitude flight. Fun fact: It is one of the fastest flying bats in Europe."
